Table Size,Number of Elements,Total Insertion Time,Total Collisions,Total Search Time
1000000,10000,0.011s,9718,0.005s
1000000,20000,0.034s,19713,0.027s
1000000,100000,1.19s,99708,1.396s
1000000,500000,42.187s,499704,23.988s
1000000,1000000,95.0s,999702,20.714s
100000,10000,0.01s,9718,0.005s
100000,20000,0.037s,19713,0.024s
100000,100000,0.83s,99708,0.354s
100000,500000,13.016s,499704,4.936s
100000,1000000,42.619s,999702,17.41s
10000,10000,0.01s,9718,0.005s
10000,20000,0.033s,19713,0.024s
10000,100000,0.796s,99708,0.288s
10000,500000,13.709s,499704,5.014s
10000,1000000,45.016s,999702,17.382s
1000,10000,0.01s,9718,0.006s
1000,20000,0.032s,19713,0.025s
1000,100000,0.671s,99708,0.225s
1000,500000,13.737s,499704,4.752s
1000,1000000,40.993s,999702,17.833s
100,10000,0.013s,9900,0.008s
100,20000,0.051s,19900,0.044s
100,100000,1.311s,99900,0.4s
100,500000,22.646s,499900,10.006s
100,1000000,74.204s,999900,36.521s
