Table Size,Number of Elements,Total Insertion Time,Total Collisions,Total Search Time
1000000,10000,0.045s,44,0.002s
1000000,20000,0.068s,187,0.004s
1000000,100000,0.127s,4868,0.011s
1000000,500000,0.465s,106734,0.05s
1000000,1000000,0.911s,367968,0.109s
100000,10000,0.039s,503,0.001s
100000,20000,0.011s,1923,0.001s
100000,100000,0.06s,36944,0.011s
100000,500000,0.451s,400684,0.11s
100000,1000000,1.136s,900005,0.334s
10000,10000,0.005s,3660,0.001s
10000,20000,0.011s,11328,0.002s
10000,100000,0.093s,90000,0.034s
10000,500000,1.411s,490000,0.992s
10000,1000000,5.283s,990000,2.714s
1000,10000,0.006s,9000,0.001s
1000,20000,0.015s,19000,0.005s
1000,100000,0.31s,99000,0.269s
1000,500000,10.609s,499000,9.037s
1000,1000000,40.971s,999000,27.18s
100,10000,0.011s,9900,0.007s
100,20000,0.047s,19900,0.042s
100,100000,2.236s,99900,2.615s
100,500000,95.341s,499900,71.634s
100,1000000,363.076s,999900,220.795s
